NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION
11,9902 5th Street Ln N,55042,MN,LELM - Lake Elmo,254500,5/19/17 0:00,259990,Exclusive Right,267117,146.8552,1088,Partial,834 - Stillwater,80,8/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,No,,7,Attached Garage,1733,0,0,2017,1733,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Vinyl,"Informal Dining Room, Eat In Kitchen",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",3,0,,200,No,0
12,9904 5th Street Ln N,55042,MN,LELM - Lake Elmo,253000,5/11/17 0:00,259990,Exclusive Right,268487,145.9896,1088,Partial,834 - Stillwater,79,7/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,No,,58,Attached Garage,1733,0,0,2017,1733,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Vinyl,"Informal Dining Room, Eat In Kitchen, Breakfast Area",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",3,0,,200,No,0
13,9894 5th Street Ln N,55042,MN,LELM - Lake Elmo,257500,3/12/17 0:00,259990,Exclusive Right,268622,148.5863,1088,Partial,834 - Stillwater,12,3/24/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,No,,8,Attached Garage,1733,0,0,2017,1733,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Vinyl,"Informal Dining Room, Eat In Kitchen",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",3,0,,190,No,0
14,9892 5th St Ln N,55042,MN,LELM - Lake Elmo,272990,3/6/17 0:00,269990,Exclusive Right,279442,154.844,1088,"Privacy, Partial",834 - Stillwater,1,6/11/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,1,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,0,2016,1763,,2016,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Disposal, Air-To-Air Exchanger",,"Shakes, Metal, Vinyl, Brick/Stone","Informal Dining Room, Kitchen/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,200,No,0
15,9295 Lake Jane Trl N,55042,MN,LELM - Lake Elmo,290000,5/18/17 0:00,270000,Exclusive Right,270000,157.2668,1844,,834 - Stillwater,18,6/5/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Bar/Wet Bar Room, Laundry",Asphalt Shingles,No,None,18,"Attached Garage, Tuckunder, Driveway - Asphalt, Garage Door Opener",1844,2689,2692,2017,1844,,1977,Residential-Single,(SF) One Story,1.661,Central,"Cooktop, Wall Oven, Microwave, Dishwasher, Trash Compactor, Refrigerator, Washer, Dryer, Water Softener - Owned, Electronic Air Filter",,"Metal, Brick/Stone","Informal Dining Room, Living/Dining Room","Full, Concrete Block, Unfinished",0,0,0,3,SF,3,"Main Floor 3/4 Bath, Walk Thru, 3/4 Basement, Separate Tub & Shower, Whirlpool",2,0,,0,Yes,3
16,9930 5th St Ln N,55042,MN,LELM - Lake Elmo,274000,10/15/17 0:00,274000,Exclusive Right,274000,155.4169,1088,,834 - Stillwater,2,10/17/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,2,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Shakes, Metal, Vinyl, Brick/Stone","Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,200,No,0
17,9898 5th St Ln N,55042,MN,LELM - Lake Elmo,274990,9/10/17 0:00,274990,Exclusive Right,289357,155.9784,1088,,834 - Stillwater,12,9/22/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,8,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Shakes, Metal, Vinyl, Brick/Stone","Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,200,No,0
18,9924 5th St Ln N,55042,MN,LELM - Lake Elmo,274000,9/1/17 0:00,284990,Exclusive Right,288342,155.4169,1088,"Privacy, Partial",834 - Stillwater,45,10/16/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,24,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Disposal, Air-To-Air Exchanger",,"Shakes, Metal, Vinyl, Brick/Stone","Informal Dining Room, Kitchen/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,200,No,0
19,9906 5th St Ln N,55042,MN,LELM - Lake Elmo,282000,5/6/17 0:00,287452,Exclusive Right,287452,159.9546,1088,,834 - Stillwater,31,6/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,31,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Shakes, Metal, Vinyl, Brick/Stone","Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",3,0,,200,No,0
20,9938 5th St Ln N,55042,MN,LELM - Lake Elmo,280617,8/11/17 0:00,288492,Exclusive Right,288492,159.1702,1088,,834 - Stillwater,16,8/27/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,16,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Shakes, Metal, Vinyl, Brick/Stone","Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",3,0,,200,No,0
21,9795 N 5th Street Ln,55042,MN,LELM - Lake Elmo,289871,3/3/17 0:00,292371,Exclusive Right,292371,163.0321,698,Privacy,834 - Stillwater,3,3/6/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Laundry","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,3,"Attached Garage, Garage Door Opener, Driveway - Asphalt",1778,0,0,2016,1778,,2016,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Brick/Stone, Fiber Board","Informal Dining Room, Eat In Kitchen, Kitchen/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,190,No,0
22,9797 N 5th Street Ln,55042,MN,LELM - Lake Elmo,282500,3/6/17 0:00,292925,Exclusive Right,291925,158.8864,698,"Privacy, Partial",834 - Stillwater,50,4/25/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Laundry","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,18,"Attached Garage, Garage Door Opener, Driveway - Asphalt",1778,0,0,2016,1778,,2016,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Brick/Stone, Fiber Board","Informal Dining Room, Breakfast Area",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Upper Level 3/4 Bath, Private Master, 3/4 Master",3,0,,190,No,0
23,8909 37th St N,55042,MN,LELM - Lake Elmo,289900,6/26/17 0:00,299900,Exclusive Right,299900,119.5957,1300,,834 - Stillwater,40,9/30/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Work Shop",Asphalt Shingles,No,,40,"Attached Garage, Garage Door Opener",1324,1974,1974,2017,2424,,1967,Residential-Single,(SF) Split Entry (Bi-Level),0.43,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Metal,Informal Dining Room,"Walkout, Finished (Livable), Day/Lookout Windows, Concrete Block",1,0,0,2,SF,3,"Upper Level Full Bath , Private Master, 3/4 Master, 3/4 Basement",4,1100,Not Assumable,0,No,1974
24,3597 Kelvin Ave N,55042,MN,LELM - Lake Elmo,314500,5/13/17 0:00,299900,Exclusive Right,299900,156.002,1200,Wood,834 - Stillwater,6,6/12/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room","Asphalt Shingles, Pitched, Age Over 8 Years",No,,6,"Attached Garage, Driveway - Concrete",1380,1878,1878,2016,2016,,1960,Residential-Single,(SF) One Story,0.574,Central,"Cooktop, Wall Oven, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,"Stucco, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen","Walkout, Full, Finished (Livable), Concrete Block",1,1,0,0,SF,2,"Main Floor Full Bath, Private Master, 1/2 Master",3,636,,0,Yes,0
25,8656 27th St N,55042,MN,LELM - Lake Elmo,280000,5/12/17 0:00,299900,Exclusive Right,320000,114.2857,1148,,622 - North St Paul-Maplewood,32,6/26/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Recreation Room, Utility Room, Porch, Den",Asphalt Shingles,No,,13,"Attached Garage, Driveway - Asphalt",1850,2333,2336,2016,2450,,1964,Residential-Single,(SF) Two Stories,0.498,None,"Range, Microwave, Dishwasher, Refrigerator",,Vinyl,"Separate/Formal Dining Room, Breakfast Area",Full,1,1,0,0,SF,2,"Main Floor Full Bath, Upper Level 1/2 Bath",3,600,Not Assumable,0,Unknown,3
26,9775 N 5th Street Ln,55042,MN,LELM - Lake Elmo,299990,7/6/17 0:00,299990,Exclusive Right,322618,166.0155,1159,"Privacy, Partial",834 - Stillwater,19,7/25/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Loft, Laundry, Deck, Pantry (Walk-In), Unfinished","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,,"Attached Garage, Garage Door Opener, Driveway - Asphalt",1807,0,0,2017,1807,,2017,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Brick/Stone, Fiber Board","Informal Dining Room, Breakfast Area",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Upper Level 3/4 Bath, Private Master, 3/4 Master, Basement, Rough In",3,0,,225,No,0
27,8687 Lake Jane Trl N,55042,MN,LELM - Lake Elmo,310000,5/4/17 0:00,300000,Exclusive Right,350000,123.0647,1506,,834 - Stillwater,8,5/12/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Pantry (Walk-In), Sun Room, Informal Dining Room",,No,"Below Ground, Outdoor, Heated",,Attached Garage,1649,2746,2746,2017,2519,,1973,Residential-Single,(SF) One Story,1.03,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,Cement Board,"Separate/Formal Dining Room, Informal Dining Room","Full, Finished (Livable), Egress Windows",1,0,0,1,SF,2,"Main Floor Full Bath, Basement",4,870,,0,Unknown,0
28,8367 39th St N,55042,MN,LELM - Lake Elmo,319000,4/17/17 0:00,309000,Exclusive Right,309000,155.4581,1100,,834 - Stillwater,14,5/1/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Age 8 Years or Less,No,,,"Attached Garage, Detached Garage",1152,2693,2696,2016,2052,,1971,Residential-Single,(SF) One Story,1.995,Central,"Range, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,Fiber Board,"Informal Dining Room, Eat In Kitchen",Walkout,1,0,0,1,SF,2,Main Floor Full Bath,4,900,Not Assumable,0,No,3
29,2866 Legion Ave N,55042,MN,LELM - Lake Elmo,304000,4/26/17 0:00,309900,Exclusive Right,309900,156.5396,1020,,834 - Stillwater,2,5/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Three Season Porch, Garage","Asphalt Shingles, Pitched, Age Over 8 Years",No,,,"Attached Garage, Detached Garage, Insulated Garage, Driveway - Concrete, Garage Door Opener",1064,2482,2482,2016,1942,,1969,Residential-Single,(SF) Split Entry (Bi-Level),0.72,Central,"Range, Microwave, Exhaust Fan/Hood, Refrigerator, Washer, Dryer, Water Softener - Rented",,Wood,"Informal Dining Room, Living/Dining Room","Walkout, Full, Finished (Livable), Day/Lookout Windows, Concrete Block",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",4,878,,0,No,0
30,9793 N 5th Street Ln,55042,MN,LELM - Lake Elmo,307500,3/3/17 0:00,314584,Exclusive Right,314584,160.9105,759,Privacy,834 - Stillwater,29,4/1/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Loft, Laundry","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1911,0,0,2016,1911,,2016,Residential-Multi-Family,(TH) Side x Side,0.06,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Brick/Stone, Fiber Board","Informal Dining Room, Breakfast Area",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,190,Unknown,0
31,9799 N 5th Street Ln,55042,MN,LELM - Lake Elmo,311401,4/8/17 0:00,316671,Exclusive Right,315671,162.9519,759,"Privacy, Partial",834 - Stillwater,27,5/5/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Loft, Laundry","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1911,0,0,2017,1911,,2017,Residential-Multi-Family,(TH) Side x Side,0.06,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Vinyl, Brick/Stone","Informal Dining Room, Breakfast Area",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",3,0,,200,Unknown,0
